Frequency (Hz)	Level (dB)
15.625000	-69.057076
31.250000	-63.830986
46.875000	-59.124966
62.500000	-57.106781
78.125000	-57.672211
93.750000	-58.651047
109.375000	-59.794357
125.000000	-60.898823
140.625000	-61.906818
156.250000	-61.779224
171.875000	-62.274998
187.500000	-62.947884
203.125000	-63.158314
218.750000	-63.511650
234.375000	-64.024391
250.000000	-63.671440
265.625000	-63.311485
281.250000	-62.902836
296.875000	-62.934914
312.500000	-62.794292
328.125000	-62.636333
343.750000	-62.321011
359.375000	-61.681965
375.000000	-61.359596
390.625000	-61.100384
406.250000	-60.360847
421.875000	-59.709999
437.500000	-59.101418
453.125000	-58.137062
468.750000	-57.235947
484.375000	-56.413612
500.000000	-55.228870
515.625000	-53.891972
531.250000	-52.134155
546.875000	-49.966850
562.500000	-48.217453
578.125000	-46.472755
593.750000	-45.474422
609.375000	-46.239601
625.000000	-47.262856
640.625000	-48.285118
656.250000	-49.654778
671.875000	-51.124722
687.500000	-52.077522
703.125000	-53.152256
718.750000	-53.583977
734.375000	-54.463177
750.000000	-55.134586
765.625000	-55.278866
781.250000	-55.637642
796.875000	-55.707424
812.500000	-55.955238
828.125000	-55.942692
843.750000	-56.194031
859.375000	-56.036388
875.000000	-55.859177
890.625000	-55.767899
906.250000	-55.476944
921.875000	-55.247871
937.500000	-54.596329
953.125000	-54.294464
968.750000	-54.084030
984.375000	-53.383793
1000.000000	-52.393044
1015.625000	-51.949356
1031.250000	-51.147709
1046.875000	-50.013046
1062.500000	-48.830036
1078.125000	-47.521698
1093.750000	-46.055851
1109.375000	-44.003723
1125.000000	-41.634026
1140.625000	-39.529163
1156.250000	-37.873711
1171.875000	-37.543369
1187.500000	-38.261440
1203.125000	-39.769493
1218.750000	-41.452679
1234.375000	-42.911160
1250.000000	-43.830528
1265.625000	-45.215694
1281.250000	-46.118294
1296.875000	-46.850025
1312.500000	-47.388611
1328.125000	-48.127010
1343.750000	-48.351440
1359.375000	-48.513474
1375.000000	-49.130074
1390.625000	-49.107731
1406.250000	-49.110336
1421.875000	-49.095089
1437.500000	-49.114788
1453.125000	-49.105007
1468.750000	-48.521992
1484.375000	-48.475506
1500.000000	-48.319630
1515.625000	-47.832523
1531.250000	-47.333767
1546.875000	-46.894032
1562.500000	-46.286469
1578.125000	-45.633533
1593.750000	-44.746155
1609.375000	-44.068211
1625.000000	-43.057251
1640.625000	-41.931770
1656.250000	-40.591820
1671.875000	-39.508156
1687.500000	-37.993591
1703.125000	-36.077633
1718.750000	-34.135048
1734.375000	-32.275692
1750.000000	-31.467237
1765.625000	-32.140110
1781.250000	-33.429417
1796.875000	-34.823704
1812.500000	-36.563198
1828.125000	-37.907417
1843.750000	-39.325199
1859.375000	-40.062702
1875.000000	-41.039658
1890.625000	-41.581284
1906.250000	-41.970005
1921.875000	-42.491360
1937.500000	-43.064819
1953.125000	-43.377804
1968.750000	-43.359718
1984.375000	-43.867664
2000.000000	-44.066166
2015.625000	-44.133415
2031.250000	-44.093418
2046.875000	-43.934917
2062.500000	-43.697517
2078.125000	-43.641026
2093.750000	-43.529938
2109.375000	-43.306141
2125.000000	-42.810867
2140.625000	-42.766357
2156.250000	-42.495090
2171.875000	-41.848656
2187.500000	-41.075565
2203.125000	-40.050369
2218.750000	-39.027992
2234.375000	-38.225231
2250.000000	-37.070797
2265.625000	-35.831055
2281.250000	-34.555599
2296.875000	-32.525230
2312.500000	-30.703180
2328.125000	-29.178137
2343.750000	-29.056496
2359.375000	-30.023550
2375.000000	-31.640705
2390.625000	-33.387516
2406.250000	-35.017429
2421.875000	-36.491020
2437.500000	-38.084026
2453.125000	-39.046398
2468.750000	-40.032509
2484.375000	-40.788891
2500.000000	-41.442245
2515.625000	-42.098877
2531.250000	-42.674484
2546.875000	-42.887463
2562.500000	-43.215363
2578.125000	-43.426903
2593.750000	-43.613312
2609.375000	-43.710873
2625.000000	-43.576771
2640.625000	-43.612408
2656.250000	-43.600376
2671.875000	-43.829895
2687.500000	-43.779800
2703.125000	-43.420509
2718.750000	-43.009056
2734.375000	-42.613499
2750.000000	-41.936226
2765.625000	-41.184372
2781.250000	-41.208611
2796.875000	-40.182781
2812.500000	-38.942722
2828.125000	-37.401066
2843.750000	-35.920650
2859.375000	-34.183678
2875.000000	-31.842966
2890.625000	-29.523926
2906.250000	-27.555870
2921.875000	-27.327477
2937.500000	-28.519407
2953.125000	-30.686832
2968.750000	-33.197826
2984.375000	-35.412842
3000.000000	-36.955757
3015.625000	-38.380627
3031.250000	-39.722256
3046.875000	-40.502209
3062.500000	-41.143120
3078.125000	-41.608021
3093.750000	-42.007011
3109.375000	-42.144138
3125.000000	-42.612099
3140.625000	-43.085754
3156.250000	-43.296299
3171.875000	-43.242615
3187.500000	-43.103905
3203.125000	-43.497791
3218.750000	-43.508991
3234.375000	-43.368042
3250.000000	-42.954498
3265.625000	-42.688675
3281.250000	-42.324936
3296.875000	-42.181206
3312.500000	-41.986584
3328.125000	-41.396160
3343.750000	-40.382435
3359.375000	-39.543907
3375.000000	-38.425777
3390.625000	-37.514717
3406.250000	-36.062893
3421.875000	-34.618824
3437.500000	-32.857430
3453.125000	-30.721085
3468.750000	-28.157745
3484.375000	-26.823679
3500.000000	-27.277685
3515.625000	-28.924618
3531.250000	-30.814304
3546.875000	-32.638813
3562.500000	-34.417309
3578.125000	-35.819107
3593.750000	-36.956192
3609.375000	-37.776699
3625.000000	-38.671413
3640.625000	-39.245747
3656.250000	-40.162880
3671.875000	-40.591900
3687.500000	-40.874699
3703.125000	-41.056107
3718.750000	-41.415638
3734.375000	-41.688660
3750.000000	-42.031273
3765.625000	-42.111816
3781.250000	-41.806499
3796.875000	-41.715759
3812.500000	-41.903500
3828.125000	-41.917847
3843.750000	-41.518791
3859.375000	-41.317120
3875.000000	-41.009937
3890.625000	-40.492878
3906.250000	-40.096878
3921.875000	-39.522636
3937.500000	-38.852898
3953.125000	-38.426678
3968.750000	-37.735809
3984.375000	-36.566322
4000.000000	-35.474159
