Frequency (Hz)	Level (dB)
15.625000	-71.829857
31.250000	-66.440727
46.875000	-61.189690
62.500000	-58.633133
78.125000	-58.985935
93.750000	-59.831284
109.375000	-60.781246
125.000000	-61.748924
140.625000	-62.710526
156.250000	-62.324200
171.875000	-62.878597
187.500000	-63.667309
203.125000	-64.115379
218.750000	-64.543594
234.375000	-65.073868
250.000000	-65.070518
265.625000	-64.918121
281.250000	-64.665222
296.875000	-64.834839
312.500000	-64.848869
328.125000	-64.855461
343.750000	-64.707565
359.375000	-64.345215
375.000000	-64.350212
390.625000	-64.449158
406.250000	-64.077904
421.875000	-63.694626
437.500000	-63.419209
453.125000	-62.915024
468.750000	-62.557407
484.375000	-62.438503
500.000000	-62.005341
515.625000	-61.607353
531.250000	-60.998447
546.875000	-60.041847
562.500000	-59.652592
578.125000	-58.931168
593.750000	-57.957520
609.375000	-57.301464
625.000000	-56.013016
640.625000	-54.620018
656.250000	-53.516106
671.875000	-52.184368
687.500000	-50.347748
703.125000	-48.286160
718.750000	-46.015358
734.375000	-44.590088
750.000000	-44.214622
765.625000	-44.783489
781.250000	-46.355766
796.875000	-47.710609
812.500000	-48.897400
828.125000	-49.747204
843.750000	-50.950035
859.375000	-51.816025
875.000000	-52.615437
890.625000	-53.430691
906.250000	-53.989357
921.875000	-54.592735
937.500000	-54.753357
953.125000	-55.222237
968.750000	-55.829075
984.375000	-55.895760
1000.000000	-55.695286
1015.625000	-56.089371
1031.250000	-56.234859
1046.875000	-56.132088
1062.500000	-56.109966
1078.125000	-56.066914
1093.750000	-56.079685
1109.375000	-55.775383
1125.000000	-55.337502
1140.625000	-55.178303
1156.250000	-54.837132
1171.875000	-54.580067
1187.500000	-54.108013
1203.125000	-53.805756
1218.750000	-53.469887
1234.375000	-52.903877
1250.000000	-52.127766
1265.625000	-51.849247
1281.250000	-51.183285
1296.875000	-50.385170
1312.500000	-49.483231
1328.125000	-48.784012
1343.750000	-47.507473
1359.375000	-46.236065
1375.000000	-45.278934
1390.625000	-43.508034
1406.250000	-41.655598
1421.875000	-39.550865
1437.500000	-37.474243
1453.125000	-35.704399
1468.750000	-34.717117
1484.375000	-35.580803
1500.000000	-37.144714
1515.625000	-38.613354
1531.250000	-39.968662
1546.875000	-41.373161
1562.500000	-42.347214
1578.125000	-43.279278
1593.750000	-43.802483
1609.375000	-44.633244
1625.000000	-45.180370
1640.625000	-45.643894
1656.250000	-45.958843
1671.875000	-46.598915
1687.500000	-47.108837
1703.125000	-47.277363
1718.750000	-47.488659
1734.375000	-47.532894
1750.000000	-47.731297
1765.625000	-48.027210
1781.250000	-47.848553
1796.875000	-47.487694
1812.500000	-47.476212
1828.125000	-47.345001
1843.750000	-47.408966
1859.375000	-46.964588
1875.000000	-46.915562
1890.625000	-46.509995
1906.250000	-46.063087
1921.875000	-45.835083
1937.500000	-45.641285
1953.125000	-45.184719
1968.750000	-44.420929
1984.375000	-44.207493
2000.000000	-43.664917
2015.625000	-42.997421
2031.250000	-42.251266
2046.875000	-41.332741
2062.500000	-40.357803
2078.125000	-39.480518
2093.750000	-38.496868
2109.375000	-37.279079
2125.000000	-35.795933
2140.625000	-34.620613
2156.250000	-33.097340
2171.875000	-31.176903
2187.500000	-29.431757
2203.125000	-28.376591
2218.750000	-28.379635
2234.375000	-29.636156
2250.000000	-31.256920
2265.625000	-32.855686
2281.250000	-34.650341
2296.875000	-35.737904
2312.500000	-36.807968
2328.125000	-37.712410
