Frequency (Hz)	Level (dB)
15.625000	-32.927219
31.250000	-33.139275
46.875000	-33.323399
62.500000	-33.511143
78.125000	-33.396320
93.750000	-33.180534
109.375000	-33.149506
125.000000	-33.170082
140.625000	-33.124146
156.250000	-33.244091
171.875000	-33.473640
187.500000	-33.379036
203.125000	-32.988510
218.750000	-33.057957
234.375000	-33.654671
250.000000	-33.338711
265.625000	-32.994492
281.250000	-32.858643
296.875000	-32.862221
312.500000	-32.919479
328.125000	-33.098713
343.750000	-33.122833
359.375000	-32.956512
375.000000	-33.067924
390.625000	-33.255329
406.250000	-33.133373
421.875000	-33.087887
437.500000	-33.202003
453.125000	-33.008701
468.750000	-33.030056
484.375000	-33.309864
500.000000	-33.353855
515.625000	-33.453781
531.250000	-33.460899
546.875000	-33.078159
562.500000	-33.326008
578.125000	-33.359695
593.750000	-33.170036
609.375000	-33.460751
625.000000	-33.222157
640.625000	-32.973961
656.250000	-33.186150
671.875000	-33.438728
687.500000	-33.305553
703.125000	-33.358059
718.750000	-33.008034
734.375000	-33.220707
750.000000	-33.328323
765.625000	-33.076550
781.250000	-33.158184
796.875000	-33.017155
812.500000	-33.117546
828.125000	-33.023243
843.750000	-33.248077
859.375000	-33.131226
875.000000	-33.053314
890.625000	-33.117260
906.250000	-33.056919
921.875000	-33.144924
937.500000	-32.862541
953.125000	-33.001461
968.750000	-33.328808
984.375000	-33.220737
1000.000000	-32.896431
1015.625000	-33.217705
1031.250000	-33.323647
1046.875000	-33.198898
1062.500000	-33.189941
1078.125000	-33.212032
1093.750000	-33.357925
1109.375000	-33.214672
1125.000000	-32.984665
1140.625000	-33.077244
1156.250000	-33.025536
1171.875000	-33.091763
1187.500000	-32.999653
1203.125000	-33.107891
1218.750000	-33.238571
1234.375000	-33.202900
1250.000000	-32.948978
1265.625000	-33.292320
1281.250000	-33.311279
1296.875000	-33.271076
1312.500000	-33.186378
1328.125000	-33.412022
1343.750000	-33.216232
1359.375000	-33.073784
1375.000000	-33.462040
1390.625000	-33.278065
1406.250000	-33.203274
1421.875000	-33.169327
1437.500000	-33.238197
1453.125000	-33.346146
1468.750000	-32.943172
1484.375000	-33.137150
1500.000000	-33.292221
1515.625000	-33.172100
1531.250000	-33.078144
1546.875000	-33.135090
1562.500000	-33.066307
1578.125000	-33.094646
1593.750000	-32.897499
1609.375000	-33.038635
1625.000000	-32.959526
1640.625000	-32.887550
1656.250000	-32.752060
1671.875000	-33.027885
1687.500000	-33.213867
1703.125000	-33.141956
1718.750000	-33.164719
1734.375000	-33.073895
1750.000000	-33.189301
1765.625000	-33.451725
1781.250000	-33.276047
1796.875000	-32.968700
1812.500000	-33.044662
1828.125000	-33.034370
1843.750000	-33.269596
1859.375000	-33.029148
1875.000000	-33.218105
1890.625000	-33.099014
1906.250000	-32.978874
