Frequency (Hz)	Level (dB)
15.625000	-69.063293
31.250000	-64.244698
46.875000	-59.179890
62.500000	-56.870846
78.125000	-58.215321
93.750000	-59.191689
109.375000	-60.073872
125.000000	-61.160179
140.625000	-62.118919
156.250000	-61.927631
171.875000	-62.348404
187.500000	-62.999519
203.125000	-63.346226
218.750000	-63.620907
234.375000	-64.061165
250.000000	-63.823032
265.625000	-63.441528
281.250000	-63.201385
296.875000	-63.245975
312.500000	-63.126595
328.125000	-63.017467
343.750000	-62.685394
359.375000	-62.081833
375.000000	-61.773136
390.625000	-61.481956
406.250000	-60.817608
421.875000	-60.198154
437.500000	-59.632545
453.125000	-58.630421
468.750000	-57.830185
484.375000	-57.130623
500.000000	-56.062305
515.625000	-54.838669
531.250000	-53.262684
546.875000	-51.156094
562.500000	-49.478710
578.125000	-47.482662
593.750000	-45.873184
609.375000	-45.831268
625.000000	-46.473869
640.625000	-47.551800
656.250000	-48.935425
671.875000	-50.364590
687.500000	-51.371990
703.125000	-52.559631
718.750000	-53.097961
734.375000	-54.078320
750.000000	-54.819603
765.625000	-55.077267
781.250000	-55.532734
796.875000	-55.653400
812.500000	-55.935814
828.125000	-55.963848
843.750000	-56.257000
859.375000	-56.155346
875.000000	-56.036915
890.625000	-56.001766
906.250000	-55.751682
921.875000	-55.604153
937.500000	-55.023369
953.125000	-54.789093
968.750000	-54.657448
984.375000	-54.050983
1000.000000	-53.158424
1015.625000	-52.830444
1031.250000	-52.156128
1046.875000	-51.165283
1062.500000	-50.164646
1078.125000	-49.069008
1093.750000	-47.874863
1109.375000	-46.169682
1125.000000	-44.142845
1140.625000	-42.161415
1156.250000	-39.874660
1171.875000	-38.057995
1187.500000	-37.274780
1203.125000	-38.068962
1218.750000	-39.474552
1234.375000	-40.977070
1250.000000	-42.140240
1265.625000	-43.800209
1281.250000	-44.897984
1296.875000	-45.805790
1312.500000	-46.492443
1328.125000	-47.383972
1343.750000	-47.757961
1359.375000	-48.041924
1375.000000	-48.774029
1390.625000	-48.865955
1406.250000	-48.973866
1421.875000	-49.054695
1437.500000	-49.161781
1453.125000	-49.250317
1468.750000	-48.763474
1484.375000	-48.813103
1500.000000	-48.757210
1515.625000	-48.369007
1531.250000	-47.968262
1546.875000	-47.637192
1562.500000	-47.136475
1578.125000	-46.627018
1593.750000	-45.883068
1609.375000	-45.363434
1625.000000	-44.534000
1640.625000	-43.632980
1656.250000	-42.557747
1671.875000	-41.790741
1687.500000	-40.673855
1703.125000	-39.169460
1718.750000	-37.543186
1734.375000	-35.542328
1750.000000	-33.694962
1765.625000	-32.254162
1781.250000	-31.338961
1796.875000	-31.701233
1812.500000	-33.331627
1828.125000	-34.958851
1843.750000	-36.805565
1859.375000	-37.940918
1875.000000	-39.254105
1890.625000	-40.116993
1906.250000	-40.782455
1921.875000	-41.513817
1937.500000	-42.239212
1953.125000	-42.661190
1968.750000	-42.741714
1984.375000	-43.353901
2000.000000	-43.671032
2015.625000	-43.863392
2031.250000	-43.938416
2046.875000	-43.901421
2062.500000	-43.780773
2078.125000	-43.848774
2093.750000	-43.861256
2109.375000	-43.775433
2125.000000	-43.413658
2140.625000	-43.517879
2156.250000	-43.409615
2171.875000	-42.941315
2187.500000	-42.370037
2203.125000	-41.567509
2218.750000	-40.809666
2234.375000	-40.300007
2250.000000	-39.520477
2265.625000	-38.700657
2281.250000	-37.966114
2296.875000	-36.493320
2312.500000	-35.023544
2328.125000	-33.228340
2343.750000	-31.591080
2359.375000	-29.950821
2375.000000	-29.010994
2390.625000	-29.202381
2406.250000	-30.521509
2421.875000	-32.304443
2437.500000	-34.432865
2453.125000	-35.941925
2468.750000	-37.370102
2484.375000	-38.534943
2500.000000	-39.506813
2515.625000	-40.449680
2531.250000	-41.280304
2546.875000	-41.727875
2562.500000	-42.262402
2578.125000	-42.674454
2593.750000	-43.048534
2609.375000	-43.337494
2625.000000	-43.382545
2640.625000	-43.598873
2656.250000	-43.748253
2671.875000	-44.143314
2687.500000	-44.263855
2703.125000	-44.084953
2718.750000	-43.863968
2734.375000	-43.675438
2750.000000	-43.240765
2765.625000	-42.729824
2781.250000	-43.040436
2796.875000	-42.369537
2812.500000	-41.533417
2828.125000	-40.460114
2843.750000	-39.557484
2859.375000	-38.570862
2875.000000	-37.172974
2890.625000	-35.852737
2906.250000	-34.219372
2921.875000	-32.399464
2937.500000	-29.608097
2953.125000	-27.386307
2968.750000	-27.010496
2984.375000	-28.565763
3000.000000	-30.998465
3015.625000	-33.437527
3031.250000	-35.704830
3046.875000	-37.178848
3062.500000	-38.391174
3078.125000	-39.305923
3093.750000	-40.092388
3109.375000	-40.546215
3125.000000	-41.288448
3140.625000	-42.020275
3156.250000	-42.466080
3171.875000	-42.652367
3187.500000	-42.719231
3203.125000	-43.330372
3218.750000	-43.551685
3234.375000	-43.630074
3250.000000	-43.431934
3265.625000	-43.383072
3281.250000	-43.238869
3296.875000	-43.333908
3312.500000	-43.394363
3328.125000	-43.091156
3343.750000	-42.379044
3359.375000	-41.891270
3375.000000	-41.165001
3390.625000	-40.723900
3406.250000	-39.836281
3421.875000	-39.059277
3437.500000	-38.127827
3453.125000	-36.990955
3468.750000	-35.207115
3484.375000	-33.611221
3500.000000	-32.035175
3515.625000	-29.904490
3531.250000	-27.749111
3546.875000	-26.857679
3562.500000	-27.708982
3578.125000	-29.553825
3593.750000	-31.633198
3609.375000	-33.295166
3625.000000	-34.915291
3640.625000	-36.097633
3656.250000	-37.513969
3671.875000	-38.384174
3687.500000	-39.035347
3703.125000	-39.538975
3718.750000	-40.201138
3734.375000	-40.740612
3750.000000	-41.335117
3765.625000	-41.657970
3781.250000	-41.581711
3796.875000	-41.702511
3812.500000	-42.107391
3828.125000	-42.346191
3843.750000	-42.170422
3859.375000	-42.196465
3875.000000	-42.136768
3890.625000	-41.868111
3906.250000	-41.741802
3921.875000	-41.458157
3937.500000	-41.105068
3953.125000	-41.027878
3968.750000	-40.746277
3984.375000	-40.011009
4000.000000	-39.426525
4015.625000	-38.853947
4031.250000	-37.919350
4046.875000	-37.285240
4062.500000	-36.101475
4078.125000	-34.995911
4093.750000	-34.176422
4109.375000	-32.965828
4125.000000	-31.771709
4140.625000	-30.860048
4156.250000	-30.856119
4171.875000	-31.811275
4187.500000	-33.420773
4203.125000	-34.992329
4218.750000	-36.633289
4234.375000	-37.902447
4250.000000	-38.944881
4265.625000	-39.872665
4281.250000	-41.084370
4296.875000	-42.014568
4312.500000	-42.826847
4328.125000	-43.292694
4343.750000	-44.203999
4359.375000	-44.649475
4375.000000	-45.059662
4390.625000	-45.523048
4406.250000	-45.966793
4421.875000	-45.998180
4437.500000	-46.382660
4453.125000	-46.865868
4468.750000	-46.815758
4484.375000	-46.875217
4500.000000	-46.710205
4515.625000	-46.834373
4531.250000	-46.604076
4546.875000	-46.249897
4562.500000	-46.060246
4578.125000	-45.943089
4593.750000	-45.285114
4609.375000	-44.908810
4625.000000	-44.102097
4640.625000	-43.133438
4656.250000	-42.037727
4671.875000	-41.037266
4687.500000	-39.538948
4703.125000	-37.786938
4718.750000	-36.279953
4734.375000	-35.312531
4750.000000	-35.442005
4765.625000	-36.655315
4781.250000	-38.485260
4796.875000	-40.465725
4812.500000	-41.857841
4828.125000	-43.584816
4843.750000	-45.050423
4859.375000	-45.987770
4875.000000	-46.931240
4890.625000	-47.854530
4906.250000	-48.714901
4921.875000	-49.191586
4937.500000	-49.933578
4953.125000	-50.160679
4968.750000	-50.770569
4984.375000	-51.112610
5000.000000	-51.535522
5015.625000	-51.841995
5031.250000	-51.855019
5046.875000	-51.648788
5062.500000	-51.890041
5078.125000	-52.075478
5093.750000	-51.958508
5109.375000	-51.947659
5125.000000	-51.797428
5140.625000	-51.375767
5156.250000	-50.715153
5171.875000	-50.366680
5187.500000	-49.868092
5203.125000	-49.240860
5218.750000	-48.190239
5234.375000	-47.116932
5250.000000	-46.288967
5265.625000	-44.939823
5281.250000	-42.990593
5296.875000	-41.134441
5312.500000	-39.877720
5328.125000	-39.460033
5343.750000	-40.421654
5359.375000	-41.858379
5375.000000	-43.688828
5390.625000	-45.677658
5406.250000	-47.415031
5421.875000	-48.555092
5437.500000	-49.650318
5453.125000	-50.854630
5468.750000	-51.410080
5484.375000	-52.299770
5500.000000	-52.955750
5515.625000	-53.396049
5531.250000	-53.862934
5546.875000	-54.348736
5562.500000	-54.782368
5578.125000	-55.242493
5593.750000	-55.355114
5609.375000	-55.481380
5625.000000	-55.550278
5640.625000	-55.497578
5656.250000	-55.363384
5671.875000	-55.609196
5687.500000	-55.236889
5703.125000	-54.962154
5718.750000	-54.658573
5734.375000	-54.334175
5750.000000	-53.679451
5765.625000	-53.743690
5781.250000	-52.854671
5796.875000	-51.975624
5812.500000	-51.366550
5828.125000	-50.023205
5843.750000	-48.726238
5859.375000	-47.720760
5875.000000	-46.207390
5890.625000	-44.762207
5906.250000	-43.958729
5921.875000	-43.770271
5937.500000	-44.457809
5953.125000	-45.949921
5968.750000	-47.819935
5984.375000	-49.619244
6000.000000	-51.129482
6015.625000	-52.346954
6031.250000	-53.228951
6046.875000	-53.959614
6062.500000	-54.682533
6078.125000	-55.487400
6093.750000	-56.277157
6109.375000	-56.909683
6125.000000	-56.971886
6140.625000	-57.454803
6156.250000	-58.057419
6171.875000	-58.187332
6187.500000	-58.156742
6203.125000	-58.552944
6218.750000	-58.926674
6234.375000	-58.892803
6250.000000	-58.741062
6265.625000	-58.436779
6281.250000	-58.559101
6296.875000	-58.352875
6312.500000	-58.446098
6328.125000	-58.250385
6343.750000	-57.528545
6359.375000	-57.443317
6375.000000	-56.866028
6390.625000	-55.949696
6406.250000	-55.081120
6421.875000	-54.118343
6437.500000	-53.067570
6453.125000	-52.004234
6468.750000	-50.629597
6484.375000	-49.758972
6500.000000	-49.383331
6515.625000	-49.883205
6531.250000	-50.906067
6546.875000	-52.653435
6562.500000	-54.317253
6578.125000	-55.724586
6593.750000	-56.927040
6609.375000	-58.177135
6625.000000	-59.221142
6640.625000	-60.333237
6656.250000	-61.284954
6671.875000	-62.228821
6687.500000	-62.631161
6703.125000	-63.377312
6718.750000	-64.145409
6734.375000	-64.732788
6750.000000	-65.175499
6765.625000	-65.670479
6781.250000	-66.119415
6796.875000	-66.239632
6812.500000	-66.736809
6828.125000	-67.031021
6843.750000	-67.359444
6859.375000	-67.337875
6875.000000	-67.333618
6890.625000	-67.402817
6906.250000	-67.305298
6921.875000	-67.478554
6937.500000	-67.408173
6953.125000	-67.140701
6968.750000	-66.858360
6984.375000	-66.310791
7000.000000	-65.946053
7015.625000	-65.498528
7031.250000	-65.100563
7046.875000	-64.562836
7062.500000	-64.015221
7078.125000	-63.809025
7093.750000	-63.695709
7109.375000	-64.646530
7125.000000	-65.912422
7140.625000	-67.532707
7156.250000	-69.187576
7171.875000	-70.589760
7187.500000	-71.942299
7203.125000	-73.622604
7218.750000	-75.197090
7234.375000	-76.297295
7250.000000	-77.342651
7265.625000	-78.468277
7281.250000	-79.907852
7296.875000	-80.862556
7312.500000	-81.456749
7328.125000	-82.513443
7343.750000	-83.348671
7359.375000	-84.267563
7375.000000	-85.080940
7390.625000	-86.037148
7406.250000	-86.618637
7421.875000	-87.121895
7437.500000	-87.815735
7453.125000	-88.335960
7468.750000	-88.901474
7484.375000	-89.305489
7500.000000	-89.929703
7515.625000	-90.276062
7531.250000	-90.757027
7546.875000	-91.524094
7562.500000	-92.259758
7578.125000	-92.808395
7593.750000	-93.609116
7609.375000	-94.250137
7625.000000	-94.988083
7640.625000	-96.483360
7656.250000	-98.006966
7671.875000	-99.848610
7687.500000	-101.982040
7703.125000	-104.316010
7718.750000	-106.892578
7734.375000	-110.181053
7750.000000	-113.132378
7765.625000	-116.386597
7781.250000	-120.150925
7796.875000	-124.205208
7812.500000	-128.257294
7828.125000	-132.958481
7843.750000	-137.739792
7859.375000	-142.966156
7875.000000	-148.978424
7890.625000	-154.970856
7906.250000	-160.775848
7921.875000	-163.324677
7937.500000	-164.326035
7953.125000	-164.366577
7968.750000	-164.532669
7984.375000	-164.629105
