Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3655
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.9233
Water Temp (deg C),24.38
Room Temp (deg C),24.38
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.38
30.00,24.38
60.00,24.37
90.00,24.38
120.00,24.39
150.00,24.37
180.00,24.40
210.00,24.40
240.00,24.39
270.00,24.37
300.00,24.38
330.00,25.55
360.00,27.42
390.00,28.93
420.00,29.87
450.00,30.49
480.00,30.83
510.00,31.05
540.00,31.19
570.00,31.24
600.00,31.28
630.00,31.30
660.00,31.33
690.00,31.32
720.00,31.32
750.00,31.31
780.00,31.31
810.00,31.28
840.00,31.30
870.00,31.27
900.00,31.28
930.00,31.25
960.00,31.28
