Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3655
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.9730
Water Temp (deg C),24.98
Room Temp (deg C),24.98
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,24.98
30.00,24.98
60.00,24.97
90.00,24.97
120.00,24.99
150.00,24.99
180.00,24.98
210.00,24.99
240.00,24.96
270.00,24.97
300.00,25.00
330.00,25.84
360.00,27.21
390.00,28.29
420.00,29.02
450.00,29.48
480.00,29.72
510.00,29.88
540.00,29.99
570.00,30.03
600.00,30.06
630.00,30.08
660.00,30.09
690.00,30.09
720.00,30.09
750.00,30.07
780.00,30.07
810.00,30.08
840.00,30.06
870.00,30.05
900.00,30.04
930.00,30.06
960.00,30.04
