Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3655
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.9483
Water Temp (deg C),22.98
Room Temp (deg C),22.98
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,22.98
30.00,23.00
60.00,23.00
90.00,22.99
120.00,22.98
150.00,22.98
180.00,22.98
210.00,22.96
240.00,22.96
270.00,22.98
300.00,22.97
330.00,24.25
360.00,26.36
390.00,27.98
420.00,29.04
450.00,29.74
480.00,30.10
510.00,30.33
540.00,30.47
570.00,30.55
600.00,30.61
630.00,30.61
660.00,30.63
690.00,30.62
720.00,30.63
750.00,30.63
780.00,30.63
810.00,30.60
840.00,30.62
870.00,30.58
900.00,30.60
930.00,30.58
960.00,30.60
