Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3655
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.9685
Water Temp (deg C),25.58
Room Temp (deg C),25.58
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,25.58
30.00,25.56
60.00,25.58
90.00,25.56
120.00,25.60
150.00,25.60
180.00,25.57
210.00,25.57
240.00,25.57
270.00,25.57
300.00,25.57
330.00,26.08
360.00,26.90
390.00,27.54
420.00,27.95
450.00,28.22
480.00,28.37
510.00,28.47
540.00,28.53
570.00,28.57
600.00,28.57
630.00,28.58
660.00,28.57
690.00,28.58
720.00,28.59
750.00,28.56
780.00,28.58
810.00,28.55
840.00,28.58
870.00,28.57
900.00,28.58
930.00,28.56
960.00,28.55
